Id_contract,Id_employee,Id_job,Type_contract,Modality,Workdays,Worktime,Branch,Hiring_date,Termination_date
H-040,1040,ISII1040,Temporary,On-Site,5,40,4,28/11/2007,27/11/2008
H-041,1041,DSI1041,Indefinite,On-Site,5,40,4,25/12/2014,N/A
H-042,1042,ISII1042,Indefinite,On-Site,5,40,2,20/12/2021,N/A
H-043,1043,DSI1043,Indefinite,On-Site,5,40,4,23/08/2018,N/A
H-044,1044,ISII1044,Indefinite,Remote,5,40,3,26/11/2023,N/A
H-045,1045,DSI1045,Indefinite,Hybrid,5,40,3,28/12/2010,N/A
H-046,1046,ISII1046,Temporary,Remote,5,40,1,07/02/2008,06/02/2009
H-047,1047,DSI1047,Indefinite,On-Site,5,40,1,25/10/2011,N/A
H-048,1048,ISII1048,Temporary,On-Site,5,40,1,15/05/2021,15/05/2022
H-049,1049,DSI1049,Indefinite,On-Site,5,40,6,18/07/2020,N/A
H-050,1050,ISII1050,Indefinite,Hybrid,5,40,3,17/02/2016,N/A
H-051,1051,DSI1051,Temporary,Remote,5,40,1,28/04/2005,28/04/2006
H-052,1052,ISII1052,Indefinite,Remote,5,40,4,16/06/2016,N/A
H-053,1053,DSI1053,Indefinite,On-Site,5,40,5,25/05/2018,N/A
H-054,1054,ISII1054,Indefinite,Hybrid,5,40,5,08/09/2006,N/A
H-055,1055,DSI1055,Temporary,On-Site,5,40,6,01/09/2008,01/09/2009
H-056,1056,ASII1056,Temporary,Remote,5,40,3,22/11/2012,22/11/2013
H-057,1057,ASII1057,Indefinite,On-Site,5,40,6,12/08/2010,N/A
H-058,1058,ASII1058,Indefinite,Hybrid,5,40,3,29/01/2016,N/A
H-059,1059,ASII1059,Indefinite,Remote,5,40,6,15/11/2013,N/A
H-060,1060,ASII1060,Indefinite,Remote,5,40,1,02/04/2005,N/A
H-061,1061,ASII1061,Temporary,On-Site,5,40,5,10/09/2022,10/09/2023
H-062,1062,ASII1062,Indefinite,On-Site,5,40,3,27/11/2007,N/A
H-063,1063,ASII1063,Temporary,On-Site,5,40,4,25/12/2006,25/12/2007
H-064,1064,ASII1064,Indefinite,On-Site,5,40,4,22/06/2016,N/A
H-065,1065,ASII1065,Temporary,On-Site,5,40,6,22/04/2016,22/04/2017
H-066,1066,ASII1066,Indefinite,On-Site,5,40,4,23/06/2022,N/A
H-067,1067,ASII1067,Temporary,Hybrid,5,40,4,28/09/2013,28/09/2014
H-068,1068,ASII1068,Temporary,Remote,5,40,2,27/12/2023,26/12/2024
H-069,1069,ASII1069,Temporary,Hybrid,5,40,3,17/02/2014,17/02/2015
H-070,1070,ASII1070,Temporary,Remote,5,40,4,03/06/2008,03/06/2009
H-071,1071,ASII1071,Indefinite,On-Site,5,40,5,12/10/2012,N/A
H-072,1072,ASII1072,Temporary,Remote,5,40,2,08/10/2018,08/10/2019
H-073,1073,ASII1073,Indefinite,Hybrid,5,40,5,23/06/2021,N/A
H-074,1074,ASII1074,Indefinite,Hybrid,5,40,3,29/03/2008,N/A
H-075,1075,ASII1075,Temporary,On-Site,5,40,3,08/06/2010,08/06/2011
H-076,1076,ASII1076,Indefinite,On-Site,5,40,2,10/10/2012,N/A
H-077,1077,ASII1077,Indefinite,Remote,5,40,5,01/01/2006,N/A
H-078,1078,ASII1078,Temporary,Hybrid,5,40,3,09/09/2011,08/09/2012
H-079,1079,ASII1079,Temporary,Remote,5,40,3,17/06/2005,17/06/2006
H-080,1080,ASII1080,Indefinite,Hybrid,5,40,5,28/10/2013,N/A
H-081,1081,ASII1081,Indefinite,Hybrid,5,40,3,11/08/2013,N/A
H-082,1082,ASII1082,Temporary,Hybrid,5,40,2,17/12/2023,16/12/2024
H-083,1083,ASII1083,Temporary,Hybrid,5,40,2,17/08/2013,17/08/2014
H-084,1084,ASII1084,Indefinite,Hybrid,5,40,3,09/08/2012,N/A
H-085,1085,ASII1085,Indefinite,On-Site,5,40,3,04/04/2011,N/A
H-086,1086,ASII1086,Temporary,Remote,5,40,2,08/08/2016,08/08/2017
H-087,1087,ASII1087,Indefinite,On-Site,5,40,5,18/05/2018,N/A
H-088,1088,ASII1088,Indefinite,Hybrid,5,40,3,29/06/2014,N/A
H-089,1089,ASII1089,Indefinite,Remote,5,40,6,24/05/2009,N/A
H-090,1090,ASII1090,Indefinite,Remote,5,40,1,22/03/2012,N/A
H-091,1091,ASII1091,Indefinite,Remote,5,40,1,06/03/2008,N/A
H-092,1092,ASII1092,Indefinite,Remote,5,40,3,20/12/2013,N/A
H-093,1093,ASII1093,Temporary,Remote,5,40,5,15/03/2011,14/03/2012
H-094,1094,ASII1094,Temporary,Hybrid,5,40,2,21/07/2012,21/07/2013
H-095,1095,ASII1095,Temporary,On-Site,5,40,4,23/05/2020,23/05/2021
H-096,1096,ASII1096,Indefinite,On-Site,5,40,5,26/07/2010,N/A
H-097,1097,ASII1097,Temporary,On-Site,5,40,1,18/03/2017,18/03/2018
H-098,1098,ASII1098,Indefinite,On-Site,5,40,6,21/04/2020,N/A
H-099,1099,ASII1099,Temporary,Remote,5,40,1,08/05/2011,07/05/2012
H-100,1100,ASII1100,Temporary,Hybrid,5,40,6,20/02/2018,20/02/2019
H-101,1101,ASII1101,Temporary,Remote,5,40,3,25/02/2017,25/02/2018
H-102,1102,ASII1102,Indefinite,On-Site,5,40,3,13/04/2020,N/A
H-103,1103,ASII1103,Temporary,On-Site,5,40,3,19/03/2010,19/03/2011
H-104,1104,ASII1104,Temporary,On-Site,5,40,2,18/02/2020,17/02/2021
H-105,1105,ASII1105,Temporary,Hybrid,5,40,2,07/03/2011,06/03/2012
H-106,1106,ASII1106,Temporary,Remote,5,40,5,02/11/2016,02/11/2017
H-107,1107,ASII1107,Temporary,Remote,5,40,2,25/08/2020,25/08/2021
H-108,1108,ASII1108,Temporary,On-Site,5,40,2,23/12/2020,23/12/2021
H-109,1109,ASII1109,Indefinite,Hybrid,5,40,4,10/11/2023,N/A
H-110,1110,ASII1110,Temporary,On-Site,5,40,1,16/08/2009,16/08/2010
H-111,1111,ASII1111,Temporary,Remote,5,40,3,02/06/2008,02/06/2009
H-112,1112,ASII1112,Temporary,On-Site,5,40,5,08/07/2009,08/07/2010
H-113,1113,ASII1113,Indefinite,Hybrid,5,40,4,15/10/2020,N/A
H-114,1114,ASII1114,Temporary,Remote,5,40,2,24/03/2006,24/03/2007
H-115,1115,ASII1115,Indefinite,Remote,5,40,6,12/08/2018,N/A
H-116,1116,ASII1116,Temporary,On-Site,5,40,3,08/02/2006,08/02/2007
H-117,1117,ASII1117,Indefinite,On-Site,5,40,3,25/11/2023,N/A
H-118,1118,ASII1118,Temporary,On-Site,5,40,6,26/09/2007,25/09/2008
H-119,1119,ASII1119,Indefinite,On-Site,5,40,6,08/10/2018,N/A
H-120,1120,ASII1120,Indefinite,On-Site,5,40,4,15/02/2015,N/A
H-121,1121,ASII1121,Temporary,On-Site,5,40,3,13/12/2008,13/12/2009
H-122,1122,ASII1122,Indefinite,Hybrid,5,40,2,03/06/2014,N/A
H-123,1123,ASII1123,Indefinite,Remote,5,40,4,19/03/2009,N/A
H-124,1124,ASII1124,Indefinite,Hybrid,5,40,5,24/03/2006,N/A
H-125,1125,ASII1125,Indefinite,Remote,5,40,4,14/04/2012,N/A
H-126,1126,ASII1126,Indefinite,On-Site,5,40,2,30/05/2007,N/A
H-127,1127,ASII1127,Temporary,Remote,5,40,1,15/06/2017,15/06/2018
H-128,1128,ASII1128,Temporary,Hybrid,5,40,3,18/02/2013,18/02/2014
H-129,1129,ASII1129,Indefinite,Hybrid,5,40,6,17/02/2015,N/A
H-130,1130,ASII1130,Temporary,On-Site,5,40,1,07/11/2019,06/11/2020
H-131,1131,ASII1131,Temporary,On-Site,5,40,6,25/04/2014,25/04/2015
H-132,1132,ASII1132,Temporary,Remote,5,40,3,01/03/2021,01/03/2022
H-133,1133,ASII1133,Temporary,Hybrid,5,40,4,23/08/2005,23/08/2006
H-134,1134,ASII1134,Indefinite,Remote,5,40,5,03/02/2018,N/A
H-135,1135,ASII1135,Indefinite,Hybrid,5,40,1,26/08/2019,N/A
H-136,1136,ASII1136,Temporary,Hybrid,5,40,6,10/11/2016,10/11/2017
H-137,1137,ASII1137,Indefinite,Hybrid,5,40,1,16/01/2021,N/A
H-138,1138,ASII1138,Indefinite,Hybrid,5,40,3,08/06/2012,N/A
H-139,1139,ASII1139,Temporary,Hybrid,5,40,5,10/12/2012,10/12/2013
H-140,1140,ASII1140,Indefinite,On-Site,5,40,5,26/08/2022,N/A
H-141,1141,ASII1141,Temporary,Remote,5,40,4,02/07/2006,02/07/2007
H-142,1142,ASII1142,Indefinite,On-Site,5,40,4,03/10/2006,N/A
H-143,1143,ASII1143,Temporary,Hybrid,5,40,3,02/09/2005,02/09/2006
H-144,1144,ASII1144,Indefinite,Remote,5,40,6,20/10/2019,N/A
H-145,1145,ASII1145,Indefinite,Remote,5,40,1,19/01/2011,N/A
H-146,1146,ASII1146,Indefinite,Remote,5,40,6,19/05/2017,N/A
H-147,1147,ASII1147,Indefinite,Remote,5,40,5,18/05/2021,N/A
H-148,1148,ASII1148,Indefinite,Remote,5,40,3,08/11/2009,N/A
H-149,1149,ASII1149,Temporary,Hybrid,5,40,2,27/02/2017,27/02/2018
H-150,1150,ES1150,Indefinite,On-Site,5,40,3,13/09/2011,N/A
H-151,1151,ES1151,Indefinite,On-Site,5,40,5,11/08/2013,N/A
H-152,1152,ES1152,Temporary,On-Site,5,40,1,30/09/2021,30/09/2022
H-153,1153,ES1153,Indefinite,On-Site,5,40,1,07/06/2010,N/A
H-154,1154,ES1154,Temporary,Remote,5,40,3,07/12/2014,07/12/2015
H-155,1155,ES1155,Temporary,Hybrid,5,40,6,08/06/2012,08/06/2013
H-156,1156,ES1156,Temporary,Remote,5,40,4,20/12/2009,20/12/2010
H-157,1157,ES1157,Indefinite,On-Site,5,40,1,14/02/2019,N/A
H-158,1158,ES1158,Indefinite,On-Site,5,40,3,12/11/2006,N/A
H-159,1159,ES1159,Temporary,On-Site,5,40,6,27/08/2017,27/08/2018
H-160,1160,ES1160,Temporary,Hybrid,5,40,4,01/01/2018,01/01/2019
H-161,1161,ES1161,Temporary,Remote,5,40,6,15/09/2014,15/09/2015
H-162,1162,ES1162,Temporary,Remote,5,40,6,26/12/2010,26/12/2011
H-163,1163,ES1163,Temporary,On-Site,5,40,5,02/08/2017,02/08/2018
H-164,1164,ES1164,Indefinite,Hybrid,5,40,2,19/07/2019,N/A
H-165,1165,ES1165,Indefinite,On-Site,5,40,5,07/11/2010,N/A
H-166,1166,ES1166,Temporary,Remote,5,40,3,22/07/2017,22/07/2018
H-167,1167,ES1167,Temporary,On-Site,5,40,3,10/08/2013,10/08/2014
H-168,1168,ES1168,Indefinite,Hybrid,5,40,5,03/10/2010,N/A
H-169,1169,ES1169,Indefinite,Remote,5,40,6,01/11/2019,N/A
H-170,1170,ES1170,Temporary,Remote,5,40,6,16/08/2012,16/08/2013
H-171,1171,ES1171,Indefinite,On-Site,5,40,5,10/11/2015,N/A
H-172,1172,ES1172,Temporary,On-Site,5,40,3,27/08/2019,26/08/2020
H-173,1173,ES1173,Temporary,On-Site,5,40,3,29/09/2006,29/09/2007
H-174,1174,ES1174,Indefinite,On-Site,5,40,2,28/03/2012,N/A
H-175,1175,ES1175,Temporary,On-Site,5,40,4,13/05/2010,13/05/2011
H-176,1176,ES1176,Temporary,On-Site,5,40,1,14/04/2022,14/04/2023
H-177,1177,ES1177,Temporary,Hybrid,5,40,4,28/08/2015,27/08/2016
H-178,1178,ES1178,Indefinite,Remote,5,40,5,18/12/2023,N/A
H-179,1179,ES1179,Temporary,Hybrid,5,40,5,27/12/2021,27/12/2022
H-180,1180,ES1180,Temporary,Remote,5,40,2,08/09/2018,08/09/2019
H-181,1181,ES1181,Indefinite,On-Site,5,40,2,11/06/2011,N/A
H-182,1182,ES1182,Temporary,Remote,5,40,4,03/11/2007,02/11/2008
H-183,1183,ES1183,Indefinite,Hybrid,5,40,2,15/02/2010,N/A
H-184,1184,ES1184,Temporary,Hybrid,5,40,4,09/12/2022,09/12/2023
H-185,1185,ES1185,Indefinite,On-Site,5,40,1,26/03/2016,N/A
H-186,1186,ES1186,Temporary,On-Site,5,40,6,24/06/2010,24/06/2011
H-187,1187,ES1187,Indefinite,Remote,5,40,6,25/08/2020,N/A
H-188,1188,ES1188,Temporary,Hybrid,5,40,5,12/08/2013,12/08/2014
H-189,1189,ES1189,Temporary,Remote,5,40,5,08/02/2013,08/02/2014
H-190,1190,ES1190,Temporary,Hybrid,5,40,4,11/05/2005,11/05/2006
H-191,1191,ES1191,Temporary,Hybrid,5,40,6,02/09/2005,02/09/2006
H-192,1192,ES1192,Indefinite,Hybrid,5,40,3,22/03/2011,N/A
H-193,1193,ES1193,Temporary,Hybrid,5,40,5,12/06/2018,12/06/2019
H-194,1194,ES1194,Temporary,Hybrid,5,40,2,15/09/2005,15/09/2006
H-195,1195,ES1195,Temporary,On-Site,5,40,4,06/01/2005,06/01/2006
H-196,1196,ES1196,Temporary,Remote,5,40,1,24/06/2018,24/06/2019
H-197,1197,ES1197,Temporary,On-Site,5,40,6,14/09/2012,14/09/2013
H-198,1198,ES1198,Indefinite,Hybrid,5,40,4,18/10/2010,N/A
H-199,1199,ES1199,Indefinite,Remote,5,40,6,23/01/2018,N/A
H-200,1200,ISII1200,Temporary,Remote,5,40,6,17/01/2014,17/01/2015
H-201,1201,ISII1201,Temporary,Remote,5,40,1,22/08/2009,22/08/2010
H-202,1202,ISII1202,Temporary,Remote,5,40,4,10/05/2023,09/05/2024
H-203,1203,ISII1203,Temporary,Remote,5,40,4,29/07/2006,29/07/2007
H-204,1204,ISII1204,Indefinite,Hybrid,5,40,2,07/11/2013,N/A
H-205,1205,ISII1205,Temporary,On-Site,5,40,5,17/11/2013,17/11/2014
H-206,1206,ISII1206,Temporary,On-Site,5,40,6,26/06/2022,26/06/2023
H-207,1207,ISII1207,Temporary,On-Site,5,40,4,26/03/2012,26/03/2013
H-208,1208,ISII1208,Temporary,On-Site,5,40,3,09/08/2014,09/08/2015
H-209,1209,ISII1209,Temporary,Remote,5,40,6,19/06/2014,19/06/2015
H-210,1210,ISII1210,Indefinite,Hybrid,5,40,6,28/11/2018,N/A
H-211,1211,ISII1211,Indefinite,Remote,5,40,6,10/08/2019,N/A
H-212,1212,ISII1212,Indefinite,On-Site,5,40,3,18/08/2006,N/A
H-213,1213,ISII1213,Indefinite,On-Site,5,40,3,15/10/2023,N/A
H-214,1214,ISII1214,Indefinite,On-Site,5,40,3,26/11/2022,N/A
H-215,1215,ISII1215,Temporary,Hybrid,5,40,4,09/05/2011,08/05/2012
H-216,1216,ISII1216,Indefinite,Remote,5,40,1,27/04/2012,N/A
H-217,1217,ISII1217,Temporary,Remote,5,40,5,06/11/2008,06/11/2009
H-218,1218,ISII1218,Indefinite,On-Site,5,40,3,13/10/2005,N/A
H-219,1219,ISII1219,Indefinite,Hybrid,5,40,5,15/10/2009,N/A
H-220,1220,ISII1220,Indefinite,On-Site,5,40,3,13/02/2022,N/A
H-221,1221,ISII1221,Indefinite,Remote,5,40,1,26/06/2023,N/A
H-222,1222,ISII1222,Indefinite,On-Site,5,40,4,12/01/2017,N/A
H-223,1223,ISII1223,Temporary,Hybrid,5,40,5,03/02/2021,03/02/2022
H-224,1224,ISII1224,Temporary,Remote,5,40,6,30/10/2023,29/10/2024
H-225,1225,ISII1225,Indefinite,Remote,5,40,3,30/11/2006,N/A
H-226,1226,ISII1226,Temporary,On-Site,5,40,5,27/08/2008,27/08/2009
H-227,1227,ISII1227,Temporary,On-Site,5,40,4,21/08/2011,20/08/2012
H-228,1228,ISII1228,Temporary,On-Site,5,40,4,26/01/2005,26/01/2006
H-229,1229,ISII1229,Indefinite,On-Site,5,40,2,11/07/2014,N/A
H-230,1230,ISII1230,Temporary,On-Site,5,40,3,14/09/2014,14/09/2015
H-231,1231,ISII1231,Indefinite,On-Site,5,40,1,27/06/2022,N/A
H-232,1232,ISII1232,Temporary,Hybrid,5,40,6,14/07/2020,14/07/2021
H-233,1233,ISII1233,Indefinite,Remote,5,40,6,05/11/2011,N/A
H-234,1234,ISII1234,Temporary,Hybrid,5,40,6,02/05/2007,01/05/2008
H-235,1235,ISII1235,Temporary,Remote,5,40,5,01/08/2019,31/07/2020
H-236,1236,ISII1236,Temporary,On-Site,5,40,1,28/06/2023,27/06/2024
H-237,1237,ISII1237,Indefinite,Remote,5,40,1,21/02/2013,N/A
H-238,1238,ISII1238,Indefinite,Hybrid,5,40,2,24/07/2015,N/A
H-239,1239,ISII1239,Temporary,Hybrid,5,40,4,07/10/2007,06/10/2008
H-240,1240,ISII1240,Temporary,On-Site,5,40,1,04/09/2011,03/09/2012
H-241,1241,ISII1241,Indefinite,On-Site,5,40,6,08/12/2019,N/A
H-242,1242,ISII1242,Indefinite,Remote,5,40,1,20/09/2012,N/A
H-243,1243,ISII1243,Temporary,Hybrid,5,40,3,27/12/2019,26/12/2020
H-244,1244,ISII1244,Indefinite,Remote,5,40,5,11/07/2016,N/A
H-245,1245,ISII1245,Temporary,Hybrid,5,40,3,26/09/2020,26/09/2021
H-246,1246,ISII1246,Indefinite,Hybrid,5,40,6,05/11/2007,N/A
H-247,1247,ISII1247,Temporary,Hybrid,5,40,1,05/08/2007,04/08/2008
H-248,1248,ISII1248,Temporary,Hybrid,5,40,3,06/02/2006,06/02/2007
H-249,1249,ISII1249,Temporary,Hybrid,5,40,1,02/03/2007,01/03/2008
H-250,1250,ISII1250,Temporary,On-Site,5,40,1,23/04/2010,23/04/2011
H-251,1251,ISII1251,Temporary,Remote,5,40,6,02/12/2023,01/12/2024
H-252,1252,ISII1252,Indefinite,On-Site,5,40,3,13/05/2017,N/A
H-253,1253,ISII1253,Indefinite,Hybrid,5,40,3,10/03/2011,N/A
H-254,1254,ISII1254,Indefinite,Remote,5,40,1,01/05/2015,N/A
H-255,1255,ISII1255,Temporary,Remote,5,40,4,18/05/2008,18/05/2009
H-256,1256,ISII1256,Indefinite,Remote,5,40,5,20/02/2011,N/A
H-257,1257,ISII1257,Indefinite,Remote,5,40,5,09/08/2016,N/A
H-258,1258,ISII1258,Temporary,Remote,5,40,5,25/04/2011,24/04/2012
H-259,1259,ISII1259,Indefinite,Hybrid,5,40,3,17/10/2017,N/A
H-260,1260,ISII1260,Indefinite,On-Site,5,40,6,23/07/2012,N/A
H-261,1261,ISII1261,Indefinite,On-Site,5,40,6,21/11/2015,N/A
H-262,1262,ISII1262,Temporary,On-Site,5,40,4,21/03/2009,21/03/2010
H-263,1263,ISII1263,Indefinite,On-Site,5,40,3,07/04/2009,N/A
H-264,1264,ISII1264,Indefinite,Remote,5,40,4,16/09/2011,N/A
H-265,1265,ISII1265,Indefinite,Hybrid,5,40,1,19/09/2010,N/A
H-266,1266,ISII1266,Temporary,Remote,5,40,3,24/02/2006,24/02/2007
H-267,1267,ISII1267,Temporary,On-Site,5,40,3,02/05/2020,02/05/2021
H-268,1268,ISII1268,Temporary,On-Site,5,40,4,02/09/2014,02/09/2015
H-269,1269,ISII1269,Indefinite,On-Site,5,40,3,16/06/2019,N/A
H-270,1270,ISII1270,Temporary,Hybrid,5,40,1,19/05/2017,19/05/2018
H-271,1271,ISII1271,Indefinite,Remote,5,40,5,29/04/2017,N/A
H-272,1272,ISII1272,Temporary,Remote,5,40,3,22/06/2020,22/06/2021
H-273,1273,ISII1273,Temporary,On-Site,5,40,3,07/04/2006,07/04/2007
H-274,1274,ISII1274,Temporary,Hybrid,5,40,5,05/09/2015,04/09/2016
H-275,1275,ISII1275,Indefinite,On-Site,5,40,5,18/12/2007,N/A
H-276,1276,ISII1276,Temporary,Remote,5,40,3,21/11/2012,21/11/2013
H-277,1277,ISII1277,Temporary,On-Site,5,40,3,01/04/2014,01/04/2015
H-278,1278,ISII1278,Temporary,Hybrid,5,40,1,02/01/2015,02/01/2016
H-279,1279,ISII1279,Temporary,Remote,5,40,6,01/05/2022,01/05/2023
H-280,1280,ISII1280,Indefinite,Remote,5,40,3,29/01/2022,N/A
H-281,1281,ISII1281,Indefinite,On-Site,5,40,4,23/06/2010,N/A
H-282,1282,ISII1282,Indefinite,On-Site,5,40,2,14/06/2006,N/A
H-283,1283,ISII1283,Temporary,On-Site,5,40,3,22/08/2008,22/08/2009
H-284,1284,ISII1284,Temporary,On-Site,5,40,5,27/12/2009,27/12/2010
H-285,1285,ISII1285,Temporary,On-Site,5,40,1,03/02/2013,03/02/2014
H-286,1286,ISII1286,Indefinite,On-Site,5,40,1,15/03/2013,N/A
H-287,1287,ISII1287,Indefinite,Hybrid,5,40,3,26/12/2008,N/A
H-288,1288,ISII1288,Temporary,Remote,5,40,6,09/09/2013,09/09/2014
H-289,1289,ISII1289,Indefinite,Hybrid,5,40,4,09/03/2013,N/A
H-290,1290,ISII1290,Indefinite,Remote,5,40,4,05/07/2007,N/A
H-291,1291,ISII1291,Indefinite,On-Site,5,40,5,15/05/2021,N/A
H-292,1292,ISII1292,Temporary,Remote,5,40,2,22/08/2010,22/08/2011
H-293,1293,ISII1293,Indefinite,Hybrid,5,40,3,26/04/2006,N/A
H-294,1294,ISII1294,Indefinite,Hybrid,5,40,6,23/11/2021,N/A
H-295,1295,ISII1295,Temporary,On-Site,5,40,2,10/10/2020,10/10/2021
H-296,1296,ISII1296,Indefinite,On-Site,5,40,5,26/05/2016,N/A
H-297,1297,ISII1297,Indefinite,Remote,5,40,3,18/05/2017,N/A
H-298,1298,ISII1298,Indefinite,Hybrid,5,40,5,23/06/2007,N/A
H-299,1299,DSII1299,Indefinite,Remote,5,40,5,26/10/2010,N/A
H-300,1300,DSII1300,Temporary,Hybrid,5,40,3,12/11/2008,12/11/2009
H-301,1301,DSII1301,Indefinite,Hybrid,5,40,6,12/02/2018,N/A
H-302,1302,DSII1302,Indefinite,Hybrid,5,40,6,16/01/2009,N/A
H-303,1303,DSII1303,Temporary,Hybrid,5,40,4,13/01/2012,12/01/2013
H-304,1304,DSII1304,Temporary,Hybrid,5,40,2,28/08/2006,28/08/2007
H-305,1305,DSII1305,Indefinite,On-Site,5,40,5,13/12/2010,N/A
H-306,1306,DSII1306,Temporary,Remote,5,40,4,19/05/2008,19/05/2009
H-307,1307,DSII1307,Indefinite,On-Site,5,40,5,07/12/2009,N/A
H-308,1308,DSII1308,Indefinite,Hybrid,5,40,4,06/01/2010,N/A
H-309,1309,DSII1309,Indefinite,Remote,5,40,2,26/10/2019,N/A
H-310,1310,DSII1310,Indefinite,Remote,5,40,1,28/05/2020,N/A
H-311,1311,DSII1311,Indefinite,Remote,5,40,5,19/05/2012,N/A
H-312,1312,DSII1312,Indefinite,Remote,5,40,4,18/12/2008,N/A
H-313,1313,DSII1313,Temporary,Remote,5,40,6,13/04/2009,13/04/2010
H-314,1314,DSII1314,Temporary,Hybrid,5,40,3,17/01/2010,17/01/2011
H-315,1315,DSII1315,Temporary,On-Site,5,40,1,30/05/2016,30/05/2017
H-316,1316,DSII1316,Temporary,On-Site,5,40,1,03/04/2016,03/04/2017
H-317,1317,DSII1317,Temporary,On-Site,5,40,1,22/06/2008,22/06/2009
H-318,1318,DSII1318,Temporary,On-Site,5,40,4,19/12/2023,18/12/2024
H-319,1319,DSII1319,Indefinite,Remote,5,40,1,29/06/2016,N/A
H-320,1320,DSII1320,Indefinite,Hybrid,5,40,6,18/05/2005,N/A
H-321,1321,DSII1321,Indefinite,Remote,5,40,4,01/04/2016,N/A
H-322,1322,DSII1322,Indefinite,On-Site,5,40,6,22/12/2014,N/A
H-323,1323,DSII1323,Indefinite,On-Site,5,40,2,17/03/2020,N/A
H-324,1324,DSII1324,Indefinite,On-Site,5,40,1,01/03/2011,N/A
H-325,1325,DSII1325,Temporary,Hybrid,5,40,1,15/07/2016,15/07/2017
H-326,1326,DSII1326,Temporary,Remote,5,40,4,21/02/2022,21/02/2023
H-327,1327,DSII1327,Temporary,Remote,5,40,3,16/05/2008,16/05/2009
H-328,1328,DSII1328,Temporary,On-Site,5,40,5,14/05/2008,14/05/2009
H-329,1329,DSII1329,Indefinite,Hybrid,5,40,6,19/03/2018,N/A
H-330,1330,DSII1330,Temporary,On-Site,5,40,1,25/09/2014,25/09/2015
H-331,1331,DSII1331,Temporary,Remote,5,40,2,19/07/2008,19/07/2009
H-332,1332,DSII1332,Temporary,On-Site,5,40,2,28/05/2022,28/05/2023
